"ID","シナリオ","配信タイミング","推奨形式","件名","本文","CTA","停止・自動処理"
"SUP-C01","[特典名] 活用サポート会：予約ページクリック済み・未予約 10通","クリック15分後","テキスト","","[name]さん、日程ページまで見てくださったようです。

合う時間が見つからなかったでしょうか？枠は随時変わるので、もう一度確認できます。","日程をもう一度見る",""
"SUP-C02","[特典名] 活用サポート会：予約ページクリック済み・未予約 10通","2時間後","テキスト＋ボタン","","予約は名前とメールアドレスだけで完了します。事前課題も資料準備もありません。

30分で「特典をどう使うか」「今どこから動くか」を整理します。","予約を完了する",""
"SUP-C03","[特典名] 活用サポート会：予約ページクリック済み・未予約 10通","5時間後","テキスト","","面談では、今の状況を聞いたうえで具体的な次の一歩を一緒に作ります。

必要に応じてAIひとり起業スクールもご案内しますが、その場で決断する必要はありません。

[サポート会予約URL]","空き枠を選ぶ",""
"SUP-C04","[特典名] 活用サポート会：予約ページクリック済み・未予約 10通","翌日09:00","画像パネル＋ボタン","","迷っているうちに、まず30分だけ確保。

まだ方向性が決まっていなくても、そこから一緒に整理できます。","30分Zoomを予約する",""
"SUP-C05","[特典名] 活用サポート会：予約ページクリック済み・未予約 10通","翌日12:00","テキスト","","「自分に相談していい内容かな？」という心配は不要です。

AI初心者でも、まだ商品がなくても大丈夫。[特典名]を入口に、現状に合う使い方を考えます。","対象日時を見る",""
"SUP-C06","[特典名] 活用サポート会：予約ページクリック済み・未予約 10通","翌日18:00","テキスト＋ボタン","","日程ページを開いたまま予約を忘れてしまう方が多いので、念のためお送りします。

都合が変わった場合は、予約後の日程変更も可能です。","予約へ戻る",""
"SUP-C07","[特典名] 活用サポート会：予約ページクリック済み・未予約 10通","翌日21:00","テキスト","","今日決めるのは、スクールへの参加ではありません。

まず30分話して、今の自分に必要な道筋を明らかにするかどうかです。必要ならこちらから枠を選んでください。

[サポート会予約URL]","相談枠を選ぶ",""
"SUP-C08","[特典名] 活用サポート会：予約ページクリック済み・未予約 10通","2日目10:00","画像パネル＋ボタン","","無料受付は本日まで。

ページまで見て迷っていた方へ。準備なし・Zoom30分で参加できます。","本日中に予約する",""
"SUP-C09","[特典名] 活用サポート会：予約ページクリック済み・未予約 10通","2日目17:00","テキスト","","[name]さん、受付終了が近づいています。

特典は残りますが、個別に活用方法を整理する無料枠は今日までです。合う時間があるかだけでも確認してください。","残りの日程を見る",""
"SUP-C10","[特典名] 活用サポート会：予約ページクリック済み・未予約 10通","2日目21:00","テキスト＋ボタン","","これで最後のご案内です。

[特典名]をきっかけに、AIを自分の仕事や事業へどうつなげるかを一緒に整理したい方は、受付終了前に予約を完了してください。","予約を完了する",""
"RSV-01","面談予約リマインド 5通","予約直後","カード＋ボタン","","[name]さん、ご予約ありがとうございます。

日時： [面談日時]
形式： Zoom（30分）
参加URL： [ZoomURL]

当日は、今の状況と目指したいことを伺いながら、次の一歩を一緒に整理します。必要に応じてサービスのご案内もします。

日程変更はこちら：[日程変更URL]","Zoom参加URLを保存する",""
"RSV-02","面談予約リマインド 5通","前日","テキスト","","明日の面談の確認です。

[面談日時]／Zoom30分
[ZoomURL]

準備物はありません。都合が変わった場合は、無断欠席にせずこちらから変更してください。
[日程変更URL]","日程を変更する",""
"RSV-03","面談予約リマインド 5通","当日朝","テキスト","","[name]さん、本日が面談日です。

開始時刻になりましたら、こちらからZoomへお入りください。
[ZoomURL]

お話しできるのを楽しみにしています。","Zoomを開く",""
"RSV-04","面談予約リマインド 5通","3時間前","テキスト＋ボタン","","面談まであと3時間です。

[面談日時]
[ZoomURL]

参加が難しくなった場合は、開始前に日程変更をお願いします。","参加URLを確認する",""
"RSV-05","面談予約リマインド 5通","30分前","テキスト","","あと30分で開始します。

こちらのZoomでお待ちしています。
[ZoomURL]

それでは後ほど、よろしくお願いします。","Zoomに参加する",""
"NS-01","無断欠席後の再予約 3通","欠席確認直後","テキスト","","[name]さん、本日のZoomでお会いできなかったのでご連絡しました。

急な予定や接続トラブルもあると思います。改めて参加したい場合は、こちらから都合のよい日時を取り直してください。
[日程変更URL]","日程を取り直す",""
"NS-02","無断欠席後の再予約 3通","翌日10:00","テキスト＋ボタン","","昨日の面談について、再予約を受け付けています。

事前準備は不要です。AIを使って何を形にするか、今の状況から一緒に整理できます。","再予約する",""
"NS-03","無断欠席後の再予約 3通","翌日20:00","テキスト","","再予約については、これでいったん最後のご案内です。

もう一度話したい場合は、こちらから好きな日時を選んでください。今すぐ難しければ、今後のセミナー案内から参加しても大丈夫です。
[日程変更URL]","再予約枠を見る",""
"SEM-A01","本命ライブセミナー募集：D-14〜D-4 7通","D-14 10:00","画像パネル＋ボタン","","[name]さん、次回のZoomライブセミナーが決まりました。

AIでひとり起業攻略法
日時：[セミナー日時]

AIを触るだけで終わらず、自分に合う事業テーマを見つけ、商品・集客・販売へつなげる考え方をお伝えします。","無料で参加登録する",""
"SEM-A02","本命ライブセミナー募集：D-14〜D-4 7通","D-12 19:00","テキスト","","AIの情報は増えているのに、「自分は何をすればいいか」が決まらない。

そんな状態から抜け出すには、ツールを増やすより事業にする順番を知ることが重要です。Zoomライブで、その全体像を整理します。

[申込URL]","セミナー詳細を見る",""
"SEM-A03","本命ライブセミナー募集：D-14〜D-4 7通","D-10 10:00","テキスト＋ボタン","","ひとり起業は、全部を一人で頑張ることではありません。

AIに任せる部分と、自分が判断する部分を分けることで、商品づくり・発信・販売を小さく回し始められます。AIでひとり起業攻略法 で具体的に解説します。","参加登録する",""
"SEM-A04","本命ライブセミナー募集：D-14〜D-4 7通","D-8 19:00","カード＋ボタン","","AI初心者でも参加できます。

まだ商品がない、強みが分からない、副業の方向性も決まっていない。そこから「誰に何を届けるか」を考えるライブです。

日時：[セミナー日時]","名前とメールで申し込む",""
"SEM-A05","本命ライブセミナー募集：D-14〜D-4 7通","D-6 10:00","テキスト","","AIツールの使い方だけ学んでも、売上までの道筋は自動ではできません。

必要なのは、テーマ選びから商品化、集客、販売までを一つの流れとして設計すること。今回のセミナーでは、そのつながりをお見せします。

[申込URL]","内容を確認する",""
"SEM-A06","本命ライブセミナー募集：D-14〜D-4 7通","D-5 19:00","テキスト＋ボタン","","今回は録画教材ではなく、Zoomライブで開催します。

同じ内容でも、開催日に時間を取り、その場で自分の課題として考えると理解が変わります。参加できる方は今のうちに予定を確保してください。","予定を確保して申し込む",""
"SEM-A07","本命ライブセミナー募集：D-14〜D-4 7通","D-4 20:00","画像パネル＋ボタン","","開催まであと4日です。

AIでひとり起業攻略法
[セミナー日時]

「AIで何ができるか」から、「AIを使って自分は何を事業にするか」へ進みたい方へ。明日から開催直前の案内に入ります。","無料参加を確定する",""
"SEM-B01","本命ライブセミナー募集：D-3〜D0 11通","D-3 10:00","画像パネル＋ボタン","","開催まで3日。

AIを学ぶだけでなく、自分の商品・集客・販売につなげる全体像を、Zoomライブでお伝えします。

日時：[セミナー日時]","参加登録する",""
"SEM-B02","本命ライブセミナー募集：D-3〜D0 11通","D-3 20:00","テキスト","","「自分には売れるものがない」と感じていても、最初から完成した答えを持つ必要はありません。

経験・得意・興味をAIと一緒に掘り下げ、事業テーマの候補を作るところから始められます。

[申込URL]","ライブに申し込む",""
"SEM-B03","本命ライブセミナー募集：D-3〜D0 11通","D-2 10:00","テキスト＋ボタン","","あと2日です。

こんな方に向いています。
・AIを仕事や副業につなげたい
・自分の商品を作りたい
・発信しても何を売ればいいか分からない
・一人で回せる仕組みを作りたい","自分に合うか確認する",""
"SEM-B04","本命ライブセミナー募集：D-3〜D0 11通","D-2 20:00","カード＋ボタン","","知識より、順番。

事業テーマ、商品、集客、販売。この順番がバラバラだと、AIを使っても動きは止まります。セミナーで一本のロードマップとして整理してください。","無料で席を確保する",""
"SEM-B05","本命ライブセミナー募集：D-3〜D0 11通","D-1 09:00","画像パネル＋ボタン","","明日開催です。

AIでひとり起業攻略法
[セミナー日時]／Zoomライブ

申込は名前とメールアドレスの2項目で完了します。","明日のライブに申し込む",""
"SEM-B06","本命ライブセミナー募集：D-3〜D0 11通","D-1 15:00","テキスト","","AIを使えば、作業時間は短くできます。

ただし、誰に何を届けるかという判断まで曖昧なままでは、作業が速くなっても事業にはなりません。明日は、その設計部分を中心にお話しします。

[申込URL]","内容を見て申し込む",""
"SEM-B07","本命ライブセミナー募集：D-3〜D0 11通","D-1 21:00","テキスト＋ボタン","","[name]さん、明日の予定は空けられそうですか？

ライブで受けるからこそ、その場で自分の現状と照らし合わせられます。参加する場合は、今夜のうちに登録を済ませてください。","参加登録を済ませる",""
"SEM-B08","本命ライブセミナー募集：D-3〜D0 11通","当日09:00","画像パネル＋ボタン","","本日開催。

AIでひとり起業攻略法
[セミナー日時]／Zoom

AIを自分の事業へつなぐ道筋を、今日のライブで整理します。","本日のライブに申し込む",""
"SEM-B09","本命ライブセミナー募集：D-3〜D0 11通","開始3時間前","テキスト","","開始まであと3時間です。

まだ申込は間に合います。名前とメールアドレスを入力すると、参加用Zoom URLが届きます。

[申込URL]","参加URLを受け取る",""
"SEM-B10","本命ライブセミナー募集：D-3〜D0 11通","開始30分前","テキスト＋ボタン","","あと30分で開始します。

今日ここで、AIの情報収集から「自分の事業を作る側」へ進みたい方はご参加ください。","今から申し込む",""
"SEM-B11","本命ライブセミナー募集：D-3〜D0 11通","開始10分前","テキスト","","まもなく開始します。申込受付は開始3分前までです。

迷っていた方は、こちらが最後のご案内です。
[申込URL]","受付終了前に申し込む",""
"REG-L01","セミナー申込者LINEリマインド 8通","申込直後","カード＋ボタン","","[name]さん、お申し込みありがとうございます。

AIでひとり起業攻略法
日時：[セミナー日時]
形式：Zoomライブ
参加URL：[参加URL]

当日は開始数分前からお入りください。","Zoom URLを保存する",""
"REG-L02","セミナー申込者LINEリマインド 8通","D-7 10:00","テキスト","","開催1週間前になりました。

AIで何を学ぶかだけでなく、自分は何を事業にするかを考える時間にします。カレンダーに予定が入っているかご確認ください。

[参加URL]","参加情報を確認する",""
"REG-L03","セミナー申込者LINEリマインド 8通","D-3 10:00","テキスト＋ボタン","","あと3日です。

当日は、今の仕事・得意なこと・興味を自分なりに思い浮かべておくと、内容をより自分事にできます。資料の準備は不要です。","Zoom URLを確認する",""
"REG-L04","セミナー申込者LINEリマインド 8通","D-1 19:00","画像パネル＋ボタン","","明日開催

AIでひとり起業攻略法
[セミナー日時]

参加URL：[参加URL]
ライブでお会いできるのを楽しみにしています。","明日のZoomを開く",""
"REG-L05","セミナー申込者LINEリマインド 8通","当日09:00","テキスト","","[name]さん、本日開催です。

開始時刻になりましたら、こちらからZoomへお入りください。
[参加URL]

落ち着いて参加できる場所と、メモをご用意ください。","参加URLを開く",""
"REG-L06","セミナー申込者LINEリマインド 8通","開始3時間前","テキスト＋ボタン","","開始まであと3時間です。

[セミナー日時]
Zoom：[参加URL]

参加URLを今のうちに開けるか確認しておくと安心です。","Zoom接続先を確認する",""
"REG-L07","セミナー申込者LINEリマインド 8通","開始30分前","テキスト","","あと30分で開始します。

こちらのZoomからご参加ください。
[参加URL]

開始5分前を目安にお入りください。","Zoomに入る",""
"REG-L08","セミナー申込者LINEリマインド 8通","開始時刻","テキスト＋ボタン","","ただいま開始しました。

まだ間に合います。こちらからZoomへお入りください。
[参加URL]","今すぐ参加する",""
"REG-M01","セミナー申込者メール 4通","申込直後","メール","【申込完了】AIでひとり起業攻略法の参加URL","[name]さん

すやです。
AIでひとり起業攻略法 へお申し込みいただき、ありがとうございます。

【開催日時】[セミナー日時]
【形式】Zoomライブ
【参加URL】[参加URL]

当日は開始5分前を目安にZoomへお入りください。AIを使って自分に合う事業テーマを見つけ、商品づくり・集客・販売までをどうつなぐか、全体像をお伝えします。

このメールは当日まで保存してください。

すや","Zoom参加URLを保存する",""
"REG-M02","セミナー申込者メール 4通","前日19:00","メール","【明日開催】AIでひとり起業攻略法","[name]さん

すやです。明日はいよいよ AIでひとり起業攻略法 の開催日です。

【開催日時】[セミナー日時]
【参加URL】[参加URL]

事前課題はありません。今の仕事、得意なこと、これから作ってみたいものを少し思い浮かべておくと、内容を自分に当てはめやすくなります。

Zoomでお会いできるのを楽しみにしています。

すや","明日の参加URLを確認する",""
"REG-M03","セミナー申込者メール 4通","1時間前","メール","【1時間後スタート】Zoom参加URLはこちら","[name]さん

すやです。AIでひとり起業攻略法 は1時間後に開始します。

【日時】[セミナー日時]
【Zoom】[参加URL]

開始5分前を目安にお入りください。接続が不安な場合は、今のうちにURLが開くか確認しておくと安心です。

それでは後ほどお会いしましょう。

すや","Zoomに参加する",""
"REG-M04","セミナー申込者メール 4通","翌日10:00・参加タグなし","メール","【3日限定】見逃した方・復習したい方へ","[name]さん

すやです。昨日の AIでひとり起業攻略法 について、見逃した方・もう一度確認したい方向けに、内容を3日間だけ公開します。

【視聴ページ】[VSLURL]
【公開終了】[VSL終了日時]

AIを使ったテーマ選びから商品・集客・販売まで、途中で止めずに一本の流れとして確認してください。視聴後、スクールに興味がある方は AIひとり起業ロードマップ作成会 を予約できます。

すや","3日限定動画を見る",""
"ATT-N01","ライブ参加者：ロードマップ作成会・非クリック 3通","セミナー終了時","カード＋2ボタン","","[name]さん、本日はご参加ありがとうございました。

参加特典の 「[参加特典名]」 はこちらです。
[参加特典URL]

今日の内容を自分の場合に落とし込み、AIで何を事業にするか、商品・集客・販売をどの順番で作るかを一緒に整理したい方へ。AIひとり起業ロードマップ作成会を用意しました。Zoom30分です。スクールの案内も含みますので、興味がある方だけ日程をご覧ください。","特典を受け取る／作成会の日程を見る",""
"ATT-N02","ライブ参加者：ロードマップ作成会・非クリック 3通","翌日10:00","テキスト＋ボタン","","昨日のセミナー内容を「分かった」で終わらせず、自分の計画に変えたい方へ。

AIひとり起業ロードマップ作成会 では、今の経験や得意なことをもとに、最初の商品と集客までの順番を30分で整理します。","ロードマップ作成会を見る",""
"ATT-N03","ライブ参加者：ロードマップ作成会・非クリック 3通","翌々日20:00","テキスト","","参加者向けのロードマップ作成会については、これで最後のご案内です。

スクールに興味があり、自分の場合の進め方を直接相談したい方だけご予約ください。名前とメールアドレスで予約できます。

[面談予約URL]","30分Zoomを予約する",""
"ATT-C01","ライブ参加者：ロードマップ作成会ページクリック・未予約 10通","クリック15分後","テキスト","","[name]さん、ロードマップ作成会の日程ページまでありがとうございます。

合う枠が見つからなかった場合は、時間を置くと空き状況が変わることがあります。もう一度こちらから確認できます。","日程を再確認する",""
"ATT-C02","ライブ参加者：ロードマップ作成会ページクリック・未予約 10通","2時間後","テキスト＋ボタン","","作成会はZoom30分です。事前課題はなく、予約は名前とメールアドレスだけ。

セミナーで学んだ全体像を、あなたの経験・時間・目標に合わせて具体化します。","予約を完了する",""
"ATT-C03","ライブ参加者：ロードマップ作成会ページクリック・未予約 10通","5時間後","テキスト","","「まだ商品も発信テーマも決まっていない」という状態で大丈夫です。

何を作るかを決めるところからロードマップにします。スクールの説明も行うので、受講に関心がある方に向いた会です。

[面談予約URL]","空き枠を見る",""
"ATT-C04","ライブ参加者：ロードマップ作成会ページクリック・未予約 10通","10時間後","画像パネル＋ボタン","","セミナーの熱があるうちに、次の一歩を決める。

一人で考えて止まりそうなら、30分で優先順位を整理しましょう。","作成会を予約する",""
"ATT-C05","ライブ参加者：ロードマップ作成会ページクリック・未予約 10通","24時間後","テキスト","","[name]さん、昨日ページを見て迷っていた方へ。

作成会で決めるのは、いきなり受講するかどうかだけではありません。まず「自分に合う事業テーマと進め方」を一緒に確認します。","日程を選ぶ",""
"ATT-C06","ライブ参加者：ロードマップ作成会ページクリック・未予約 10通","28時間後","テキスト＋ボタン","","AIを使ったひとり起業では、やることを増やすより、何をやらないかまで決めることが重要です。

今の状況から、最短の順番を組み立てます。","30分で整理する",""
"ATT-C07","ライブ参加者：ロードマップ作成会ページクリック・未予約 10通","34時間後","テキスト","","予約後に都合が変わった場合は、日程変更できます。

時間が合うかだけでも、こちらから確認してください。
[面談予約URL]","空き時間を確認する",""
"ATT-C08","ライブ参加者：ロードマップ作成会ページクリック・未予約 10通","39時間後","カード＋ボタン","","受付は残りわずかな時間です。

これは実際の受付期限に基づくご案内です。スクールの内容も聞いたうえで、自分に必要かを判断したい方はご予約ください。","受付中の枠を見る",""
"ATT-C09","ライブ参加者：ロードマップ作成会ページクリック・未予約 10通","45時間後","テキスト","","あと数時間で、今回の参加者向け案内を終了します。

考え続けるより、一度話して方向を明確にしたい方はこちらです。
[面談予約URL]","終了前に予約する",""
"ATT-C10","ライブ参加者：ロードマップ作成会ページクリック・未予約 10通","47時間後","テキスト＋ボタン","","これで最後です。

AIひとり起業ロードマップ作成会 の受付をまもなく終了します。参加したい方は、今のうちに予約を完了してください。","予約を完了する",""
"VSL-U01","VSL未開封 15通","1日目10:00","画像パネル＋ボタン","","欠席・参加不明の方：見逃した方・復習したい方へ。
未申込の方：日程が合わなかった方向けの特別公開です。

AIでひとり起業攻略法 の内容を、本日から3日間だけ視聴できます。
公開終了：[VSL終了日時]

[VSLURL]","3日限定で視聴する",""
"VSL-U02","VSL未開封 15通","1日目13:00","テキスト","","先ほど期間限定動画を公開しました。

AIツールの紹介だけではなく、自分に合う事業テーマをどう見つけ、商品・集客・販売へつなげるかを順番に解説しています。

[VSLURL]","動画を開く",""
"VSL-U03","VSL未開封 15通","1日目18:00","テキスト＋ボタン","","[name]さん、まだ動画を開いていないようでした。

まとまった時間がなくても、まずページを開いて視聴できる状態だけ確認しておいてください。公開は3日間です。","視聴ページを確認する",""
"VSL-U04","VSL未開封 15通","1日目21:00","テキスト","","AIについて学んでも行動に移せないときは、能力よりも進める順番が曖昧なことが多いです。

動画では、ひとりで事業を形にする全体の流れをお伝えしています。
[VSLURL]","今日のうちに見始める",""
"VSL-U05","VSL未開封 15通","2日目09:00","画像パネル＋ボタン","","公開2日目。

まだ視聴を始めていない方へ。自分の商品がない状態からでも考えられる内容です。","動画を再生する",""
"VSL-U06","VSL未開封 15通","2日目13:00","テキスト","","「AIを使えるようになってから事業を考える」必要はありません。

何を作りたいかを考えながら、必要なAIの使い方を身につける方法もあります。動画でその考え方を確認してください。
[VSLURL]","内容を確認する",""
"VSL-U07","VSL未開封 15通","2日目18:00","テキスト＋ボタン","","[name]さん、公開期間は明日までです。

視聴後、スクールに興味がある方は AIひとり起業ロードマップ作成会 へ進めます。まずは内容を見て、自分に必要か判断してください。","3日限定動画を見る",""
"VSL-U08","VSL未開封 15通","2日目21:00","テキスト","","今日のうちに見始めておくと、明日は必要な箇所を見直す時間に使えます。

視聴ページ：[VSLURL]
終了：[VSL終了日時]","今から視聴する",""
"VSL-U09","VSL未開封 15通","3日目08:00","画像パネル＋ボタン","","本日23:59で公開終了です。

日程が合わずライブに参加できなかった方も、今日中なら内容を確認できます。","公開終了前に見る",""
"VSL-U10","VSL未開封 15通","3日目10:00","テキスト","","公開最終日になりました。

AIでひとり起業するために、テーマ・商品・集客・販売をどうつなぐのか。まだ見ていない方は、今日の予定に視聴時間を入れてください。
[VSLURL]","視聴を始める",""
"VSL-U11","VSL未開封 15通","3日目12:00","テキスト＋ボタン","","あと半日ほどで終了します。

ページを開いていないまま期限を迎えると、今回の動画は見られなくなります。必要なら今のうちにご覧ください。","動画を開く",""
"VSL-U12","VSL未開封 15通","3日目15:00","テキスト","","[name]さん、まだ間に合います。

完璧に理解しようとせず、まず全体像を通して見るのがおすすめです。公開は本日23:59までです。
[VSLURL]","全体像を見る",""
"VSL-U13","VSL未開封 15通","3日目18:00","画像パネル＋ボタン","","残り6時間。

今回の3日限定公開は今夜で終了します。AIの情報収集から、自分の事業を作る側へ進みたい方はご視聴ください。","今夜見る",""
"VSL-U14","VSL未開封 15通","3日目21:00","テキスト","","終了まであと3時間です。

視聴するか迷っていた方へ。ページを開けるのは本日23:59までです。
[VSLURL]","終了前に視聴する",""
"VSL-U15","VSL未開封 15通","3日目23:00","テキスト＋ボタン","","あと1時間で公開終了です。

これが3日限定公開の最後のご案内です。見ておきたい方は、今すぐ視聴ページを開いてください。","今すぐ動画を見る",""
"VSL-P01","VSL一部視聴・未完了 10通","視聴開始30分後","テキスト","","[name]さん、動画を開いてくださりありがとうございます。

途中で止めた場合は、こちらから続きに戻れます。
[VSLURL]","続きを見る",""
"VSL-P02","VSL一部視聴・未完了 10通","同日17:00","テキスト＋ボタン","","一度で見切れなくても大丈夫です。

ただ、テーマ選びから販売までがつながっているので、公開期間中に最後まで通して見るのがおすすめです。","続きから視聴する",""
"VSL-P03","VSL一部視聴・未完了 10通","同日21:00","テキスト","","動画の途中で止まっている方へ。

「自分なら何を事業にするか」を考えながら見ると、ただの情報ではなく行動の材料になります。
[VSLURL]","視聴を再開する",""
"VSL-P04","VSL一部視聴・未完了 10通","翌日09:00","画像パネル＋ボタン","","昨日の続きから。

視聴ページを開き、商品・集客・販売までの流れを最後まで確認してください。","動画へ戻る",""
"VSL-P05","VSL一部視聴・未完了 10通","翌日14:00","テキスト","","AIツールを増やすことより、「誰に何を届けるか」を決める方が先です。

後半では、学びを事業につなげる考え方も扱っています。","後半を見る",""
"VSL-P06","VSL一部視聴・未完了 10通","翌日20:00","テキスト＋ボタン","","公開期限は [VSL終了日時] です。

視聴を始めた時刻にかかわらず延長はされないので、余裕があるうちに続きをご覧ください。","公開中に見終える",""
"VSL-P07","VSL一部視聴・未完了 10通","最終日09:00","画像パネル＋ボタン","","本日が視聴最終日です。

途中まで見た方は、今夜23:59までに続きへ戻ってください。","続きから再生する",""
"VSL-P08","VSL一部視聴・未完了 10通","最終日14:00","テキスト","","残り時間が少なくなってきました。

見終わったら、スクールに興味がある方だけ AIひとり起業ロードマップ作成会 の日程を確認できます。
[VSLURL]","最後まで見る",""
"VSL-P09","VSL一部視聴・未完了 10通","最終日19:00","テキスト＋ボタン","","公開終了まであと数時間です。

途中のままにせず、AIで事業を作る全体像を今日中に完成させてください。","視聴を完了する",""
"VSL-P10","VSL一部視聴・未完了 10通","最終日22:30","テキスト","","23:59で終了します。

視聴途中の方への最後のご案内です。今すぐこちらから続きをご覧ください。
[VSLURL]","今すぐ続きを見る",""
"VSL-C01","VSL視聴完了：ロードマップ作成会 48時間10通","完了直後","カード＋ボタン","","[name]さん、最後までご視聴ありがとうございました。

内容を自分の場合に落とし込み、AIで何を事業にするか、商品・集客・販売をどの順番で作るかを整理したい方へ。

AIひとり起業ロードマップ作成会
Zoom30分／名前・メールで予約

スクールのご案内も含むため、興味がある方だけお申し込みください。","ロードマップ作成会を予約する",""
"VSL-C02","VSL視聴完了：ロードマップ作成会 48時間10通","2時間後","テキスト","","動画を見て「自分の場合はどうなる？」と思った方へ。

作成会では、経験・得意・使える時間をもとに、最初のテーマと進める順番を一緒に組み立てます。
[面談予約URL]","日程を見る",""
"VSL-C03","VSL視聴完了：ロードマップ作成会 48時間10通","5時間後","テキスト＋ボタン","","まだ商品がなくても、AI初心者でも大丈夫です。

完成した計画を持ってくる場ではなく、30分で計画の土台を作る場です。","30分Zoomを予約する",""
"VSL-C04","VSL視聴完了：ロードマップ作成会 48時間10通","10時間後","画像パネル＋ボタン","","見た直後が、最も動きやすい。

情報が新しいうちに、自分のロードマップへ変えましょう。","次の一歩を決める",""
"VSL-C05","VSL視聴完了：ロードマップ作成会 48時間10通","24時間後","テキスト","","[name]さん、動画の視聴完了から1日が経ちました。

一人で整理すると止まりそうなら、作成会を使ってください。必要に応じて AIひとり起業スクール でできることもご説明します。","作成会の空き枠を見る",""
"VSL-C06","VSL視聴完了：ロードマップ作成会 48時間10通","28時間後","テキスト＋ボタン","","事業テーマ、商品、集客、販売。

すべてを同時に考えると動けません。今の自分が最初に決める一つを、30分で明確にします。","優先順位を整理する",""
"VSL-C07","VSL視聴完了：ロードマップ作成会 48時間10通","34時間後","テキスト","","予約は名前とメールアドレスの2項目で完了します。事前課題はありません。

都合が変わった場合は日程変更できます。
[面談予約URL]","予約へ進む",""
"VSL-C08","VSL視聴完了：ロードマップ作成会 48時間10通","39時間後","カード＋ボタン","","視聴完了者向け受付は、あと9時間です。

実際の48時間受付に基づく案内です。必要な方は、期限内に日程を確保してください。","受付中の日程を見る",""
"VSL-C09","VSL視聴完了：ロードマップ作成会 48時間10通","45時間後","テキスト","","受付終了まであと3時間です。

スクールに関心があり、自分に合う進め方を直接相談したい方は、こちらから予約してください。
[面談予約URL]","終了前に予約する",""
