"ファネル","承認元シート","No.","シナリオ順","シナリオ名","配信区分","区分内順","媒体","管理名称","配信基準","配信タイミング","ステータス","送信元","件名","本文_M（原本）","本文_N（構造化原本）","本文_O（転記候補）","本文_P（補助文）","URL・ボタン／アクション","配信条件","UTAGE編集URL","メッセージID"
"YouTube_ゆっくりAI","REVIEW_YouTube_ゆっくりAI_20260810","11","ACTION","YT_55_VSL視聴完了","アクション","1","LINE","ACT-VSL-COMPLETE","状態遷移","VSL視聴完了時","レビュー確定（要UTAGE実装）","","","未視聴・途中視聴シーケンスを即時停止し、個別面談案内へ移行する。","未視聴・途中視聴シーケンスを即時停止し、個別面談案内へ移行する。","未視聴・途中視聴シーケンスを即時停止し、個別面談案内へ移行する。","未視聴・途中視聴シーケンスを即時停止し、個別面談案内へ移行する。","VSL視聴催促停止→面談案内開始","VSL視聴完了かつ面談未予約。","[UTAGE実装時作成]","ACT-VSL-COMPLETE"
"YouTube_ゆっくりAI","REVIEW_YouTube_ゆっくりAI_20260810","12","ACTION","YT_65_VSL期限切れ","アクション","1","LINE","ACT-VSL-EXPIRE","状態遷移","VSL起点から72時間後","レビュー確定（要UTAGE実装）","","","VSL関連配信をすべて停止。面談未予約者をオープンチャット案内へ移行する。","VSL関連配信をすべて停止。面談未予約者をオープンチャット案内へ移行する。","VSL関連配信をすべて停止。面談未予約者をオープンチャット案内へ移行する。","VSL関連配信をすべて停止。面談未予約者をオープンチャット案内へ移行する。","VSL全配信停止→オプチャ案内開始","VSL開始から72時間経過かつ面談未予約・面談未実施。","[UTAGE実装時作成]","ACT-VSL-EXPIRE"
"YouTube_ゆっくりAI","REVIEW_YouTube_ゆっくりAI_20260810","13","ACTION","YT_70_面談予約完了","アクション","1","LINE","ACT-RM-BOOK","状態遷移","個別面談の予約完了時","レビュー確定（要UTAGE実装）","","","メインLINEと個別面談LINEの両方で、VSL・面談催促・期限・オプチャなど他オファーを全停止。面談リマインドだけを残す。","メインLINEと個別面談LINEの両方で、VSL・面談催促・期限・オプチャなど他オファーを全停止。面談リマインドだけを残す。","メインLINEと個別面談LINEの両方で、VSL・面談催促・期限・オプチャなど他オファーを全停止。面談リマインドだけを残す。","メインLINEと個別面談LINEの両方で、VSL・面談催促・期限・オプチャなど他オファーを全停止。面談リマインドだけを残す。","全オファー停止→面談リマインドのみ","予約ページクリックではなく予約完了。別LINEとの連携IDはUTAGE実装時に実値確認。","[UTAGE実装時作成]","ACT-RM-BOOK"
"YouTube_ゆっくりAI","REVIEW_YouTube_ゆっくりAI_20260810","14","ACTION","YT_81_無断欠席","アクション","1","LINE","ACT-RM-NOSHOW","状態遷移","面談無断欠席判定時","レビュー確定（要UTAGE実装）","","","YouTube既存運用と同じ3通の再案内を開始。3通後も再予約がなければ見込み弱としてオプチャへ移行する。","YouTube既存運用と同じ3通の再案内を開始。3通後も再予約がなければ見込み弱としてオプチャへ移行する。","YouTube既存運用と同じ3通の再案内を開始。3通後も再予約がなければ見込み弱としてオプチャへ移行する。","YouTube既存運用と同じ3通の再案内を開始。3通後も再予約がなければ見込み弱としてオプチャへ移行する。","面談再案内3通→未再予約ならオプチャ","無断欠席者。再予約完了時は全催促を停止。","[UTAGE実装時作成]","ACT-RM-NOSHOW"
"YouTube_ゆっくりAI","REVIEW_YouTube_ゆっくりAI_20260810","15","ACTION","YT_90_オプチャクリック","アクション","1","LINE","ACT-OPENCHAT-CLICK","状態遷移","オプチャリンク初回クリック時","レビュー確定（要UTAGE実装）","","","オプチャ案内シーケンスを停止し、同じ案内の重複送信を防止する。","オプチャ案内シーケンスを停止し、同じ案内の重複送信を防止する。","オプチャ案内シーケンスを停止し、同じ案内の重複送信を防止する。","オプチャ案内シーケンスを停止し、同じ案内の重複送信を防止する。","オプチャ案内停止","面談未実施者のみ。面談済みは自動配信対象外。","[UTAGE実装時作成]","ACT-OPENCHAT-CLICK"
"YouTube_ゆっくりAI","REVIEW_YouTube_ゆっくりAI_20260810","16","ACTION","YT_99_面談完了","アクション","1","LINE","ACT-MEETING-COMPLETE","状態遷移","面談完了を手動または連携で確定時","レビュー確定（要UTAGE実装）","","","面談済みをゴールとし、すべての自動営業配信から除外する。失注後のオプチャ案内は手動で切り替える。","面談済みをゴールとし、すべての自動営業配信から除外する。失注後のオプチャ案内は手動で切り替える。","面談済みをゴールとし、すべての自動営業配信から除外する。失注後のオプチャ案内は手動で切り替える。","面談済みをゴールとし、すべての自動営業配信から除外する。失注後のオプチャ案内は手動で切り替える。","全自動営業配信停止→ゴール","面談完了者。自動オプチャ対象から除外。","[UTAGE実装時作成]","ACT-MEETING-COMPLETE"
"YouTube_ゆっくりAI","REVIEW_YouTube_ゆっくりAI_20260810","17","1","登録直後","ステップ配信","1","LINE","","","登録直後","稼働中","","","
%line_name%さん、登録ありがとうございます！すやです😊🎉

さっそくですが、ご覧いただいた動画の特典をお渡ししますね🎁

このLINEに 👇
▶️ 動画概要欄に記載のキーワード
を、そのまま送ってください✨

確認でき次第、その場ですぐにお届けします📩🔥","【LINEメッセージ 1／text】
%line_name%さん、登録ありがとうございます！すやです😊🎉

さっそくですが、ご覧いただいた動画の特典をお渡ししますね🎁

このLINEに 👇
▶️ 動画概要欄に記載のキーワード
を、そのまま送ってください✨

確認でき次第、その場ですぐにお届けします📩🔥","%line_name%さん、登録ありがとうございます！すやです😊🎉

さっそくですが、ご覧いただいた動画の特典をお渡ししますね🎁

このLINEに 👇
▶️ 動画概要欄に記載のキーワード
を、そのまま送ってください✨

確認でき次第、その場ですぐにお届けします📩🔥","[name]さん、登録ありがとうございます。すやです。

特典をお送りします。

このLINEに
動画内でお伝えしたキーワードを、そのまま送ってください。確認でき次第、すぐにお渡しします。","","ゆっくりAI専用LINE登録経路／src_youtube_yukkuri_aiを付与／キーワード未送信。予約完了・面談済み・成約・営業停止は除外。","https://utage-system.com/account/Y86og5tIw1hZ/scenario/LtfGAaFIOBrD/step/line/HgjvN8CYjPDK/edit","HgjvN8CYjPDK"
"YouTube_ゆっくりAI","REVIEW_YouTube_ゆっくりAI_20260810","18","1","登録直後","ステップ配信","2","LINE","","","0日後 0:10","稼働中","","","
%line_name%さん、キーワードの送信は大丈夫そうですか？👀

このLINEに 💬  動画概要欄に記載のキーワードを送ると、特典がその場でパッと届きます🎁✨

「あれ、どの動画だったっけ…？」ってなっちゃった方は、動画名やURLを送ってくださいね🙆‍♂️ こちらで確認します！😌","【LINEメッセージ 1／text】
%line_name%さん、キーワードの送信は大丈夫そうですか？👀

このLINEに 💬 動画で案内された合言葉 を送ると、特典がその場でパッと届きます🎁✨

「あれ、どの動画だったっけ…？」ってなっちゃった方は、動画名やURLを送ってくださいね🙆‍♂️ こちらで確認します！😌","%line_name%さん、キーワードの送信は大丈夫そうですか？👀

このLINEに 💬 動画で案内された合言葉 を送ると、特典がその場でパッと届きます🎁✨

「あれ、どの動画だったっけ…？」ってなっちゃった方は、動画名やURLを送ってくださいね🙆‍♂️ こちらで確認します！😌","[name]さん、キーワードの送信は大丈夫そうですか？

このLINEに キーワードを送っていただけると、動画でご案内した特典を受け取れます。

どの動画だったか分からなくなった場合は、動画名やURLを送ってください。こちらで確認します。","","ゆっくりAI専用LINE登録経路／src_youtube_yukkuri_ai／キーワード未送信者のみ。キーワード受信時に登録直後シナリオを停止し、特典配布完了シナリオへ遷移。","https://utage-system.com/account/Y86og5tIw1hZ/scenario/LtfGAaFIOBrD/step/line/jhGqM81RS7kn/edit","jhGqM81RS7kn"
"YouTube_ゆっくりAI","REVIEW_YouTube_ゆっくりAI_20260810","19","2","サポート会_特典リンク未クリック","ステップ配信","1","LINE","SUP-A01","","30分 後","廃止対象（UTAGEで停止）","","","
%line_name%さん、先ほどの「特典」、まだ開けていないみたいでした👀

忙しいと、受け取っただけで後回しになっちゃいますよね😌 まず保存だけでもしておいてくださいね。

※もう一度受け取りたい場合は、先ほどのキーワードをこのLINEに送ってくださいね💡","【LINEメッセージ 1／text】
%line_name%さん、先ほどの「特典」、まだ開けていないみたいでした👀

忙しいと、受け取っただけで後回しになっちゃいますよね😌 まず保存だけでもしておいてくださいね。

※もう一度受け取りたい場合は、先ほどの合言葉をこのLINEに送ってくださいね💡","%line_name%さん、先ほどの「特典」、まだ開けていないみたいでした👀

忙しいと、受け取っただけで後回しになっちゃいますよね😌 まず保存だけでもしておいてくださいね。

※もう一度受け取りたい場合は、先ほどの合言葉をこのLINEに送ってくださいね💡","送っていただきありがとうございます。

こちらで特典を特定したいので、見ていたYouTube動画のタイトルかURLを送ってもらえますか？確認でき次第、該当の特典をお送りします。","","使用禁止：特典リンクのクリック有無では分岐しない","https://utage-system.com/account/Y86og5tIw1hZ/scenario/PH1yn5gcw4yb/step/line/bvZVJd3EkGg5/edit","bvZVJd3EkGg5"
"YouTube_ゆっくりAI","REVIEW_YouTube_ゆっくりAI_20260810","20","2","サポート会_特典リンク未クリック","ステップ配信","2","LINE","SUP-A02","","4時間 後","廃止対象（UTAGEで停止）","","","特典🎁を受け取っていただいた方には、特典を活用していただくための30分のZoomサポート会を用意しています😊
是非この機会にご活用ください👇
https://utage-system.com/event/HKyoHqSFnPvU/register","【LINEメッセージ 1／text】
特典を見る前でも参加OKな、30分のZoom活用サポート会を用意していますよ😊

「自分の場合はどこから使えばいい？」を一緒に整理する場です👀 必要があれば私たちのサービスもご案内しますが、無理に決める必要はまったくありません✨","特典を見る前でも参加OKな、30分のZoom活用サポート会を用意していますよ😊

「自分の場合はどこから使えばいい？」を一緒に整理する場です👀 必要があれば私たちのサービスもご案内しますが、無理に決める必要はまったくありません✨","[name]さん、お待たせしました。

特典の 「[特典名]」 です。

これを使うと、[特典で得られること]。まずはこちらから受け取ってください。

[特典URL]

受け取ったあと、使い方で迷わないための無料サポートも案内します。","","使用禁止：特典リンクのクリック有無では分岐しない","https://utage-system.com/account/Y86og5tIw1hZ/scenario/PH1yn5gcw4yb/step/line/CQ6G6Icjx77d/edit","CQ6G6Icjx77d"
"YouTube_ゆっくりAI","REVIEW_YouTube_ゆっくりAI_20260810","21","2","サポート会_特典リンク未クリック","ステップ配信","3","LINE","SUP-A03","","1日後 10:00","廃止対象（UTAGEで停止）","","","
{
  ""original_content_url"": ""https://utagesystem.s3.ap-northeast-1.wasabisys.com/GX6OYW2fVtRD/jJ4FvI0TtE50.png""
}

────────────

【LINEメッセージ 2／text】
%line_name%さん、Zoomサポート会の申し込みはお済みでしょうか？

特典をご覧になっていなくても全く問題ございません🔥 一緒に使い方をマスターしてしまいましょう👇

────────────

【LINEメッセージ 3／button】
{
  ""alt_text"": ""【個別】ZOOMサポート会のご案内"",
  ""react_type"": ""free"",
  ""react_press_again_text"": null,
  ""thumbnail_image_url"": null,
  ""title"": ""ZOOMサポート会"",
  ""text"": ""Zoom30分・名前とメールだけで予約OK"",
  ""actions"": [
    {
      ""type"": ""url"",
      ""label"": ""ZOOMサポート会に申し込む"",
      ""uri"": ""https://utage-system.com/event/HKyoHqSFnPvU/register"",
      ""add_label_id"": null,
      ""del_label_id"": null
    }
  ]
}","【LINEメッセージ 1／image】
{
  ""original_content_url"": ""https://utagesystem.s3.ap-northeast-1.wasabisys.com/GX6OYW2fVtRD/jJ4FvI0TtE50.png""
}

────────────

【LINEメッセージ 2／text】
%line_name%さん、特典は読んでから面談に来なくても大丈夫ですよ😊

むしろ、まだ手を付けられていない状態から「最初の一歩」を決めるために使っちゃいましょう🔥 Zoomで３０分です👇

────────────

【LINEメッセージ 3／button】
{
  ""alt_text"": ""【個別】AI活用サポート会（Zoom30分）のご案内"",
  ""react_type"": ""free"",
  ""react_press_again_text"": null,
  ""thumbnail_image_url"": null,
  ""title"": ""AI個別サポート会"",
  ""text"": ""Zoom30分・名前とメールだけで予約OK"",
  ""actions"": [
    {
      ""type"": ""url"",
      ""label"": ""サポート会に申し込む"",
      ""uri"": ""https://utage-system.com/event/HKyoHqSFnPvU/register"",
      ""add_label_id"": null,
      ""del_label_id"": null
    }
  ]
}","%line_name%さん、特典は読んでから面談に来なくても大丈夫ですよ😊

むしろ、まだ手を付けられていない状態から「最初の一歩」を決めるために使っちゃいましょう🔥 Zoomで３０分です👇","[name]さん、先ほどの「[特典名]」はまだ開けていないようでした。

忙しいと、受け取っただけで後回しになりやすいですよね。まず保存だけでもしておいてください。

[特典URL]","[
  {
    ""url"": ""https://utage-system.com/event/HKyoHqSFnPvU/register"",
    ""action_id"": ""CuTNunOkS4Ul"",
    ""expiration_type"": ""none""
  }
]","使用禁止：特典リンクのクリック有無では分岐しない","https://utage-system.com/account/Y86og5tIw1hZ/scenario/PH1yn5gcw4yb/step/line/ifotTltN9ImD/edit","ifotTltN9ImD"
"YouTube_ゆっくりAI","REVIEW_YouTube_ゆっくりAI_20260810","22","2","サポート会_特典リンク未クリック","ステップ配信","4","LINE","SUP-A04","","1日後 19:00","廃止対象（UTAGEで停止）","","","
情報を集めるだけで終わらせないために😌

Zoomサポート会にぜひお越しください🎁","【LINEメッセージ 1／text】
情報を集めるだけで終わらせないために😌

AIで何ができるかより、自分の状況で何をやるかが決まると、ぐっと動きやすくなりますよ💪 特典の使い方を、あなた向けに整理しますね🎁","情報を集めるだけで終わらせないために😌

AIで何ができるかより、自分の状況で何をやるかが決まると、ぐっと動きやすくなりますよ💪 特典の使い方を、あなた向けに整理しますね🎁","特典を見る前でも参加できる、30分のZoom活用サポート会を用意しています。

「自分の場合はどこから使えばいい？」を一緒に整理する場です。是非ご活用ください。","","使用禁止：特典リンクのクリック有無では分岐しない","https://utage-system.com/account/Y86og5tIw1hZ/scenario/PH1yn5gcw4yb/step/line/OndQwf3kv8kl/edit","OndQwf3kv8kl"
"YouTube_ゆっくりAI","REVIEW_YouTube_ゆっくりAI_20260810","23","2","サポート会_特典リンク未クリック","ステップ配信","5","LINE","SUP-A05","","2日後 10:00","廃止対象（UTAGEで停止）","","","
無料のZoomサポート会をご案内できるのは、本日までとなります⏰

お早めにお申し込みください👇

────────────

【LINEメッセージ 2／button】
{
  ""alt_text"": ""【個別】ZOOMサポート会（本日まで）のご案内"",
  ""react_type"": ""free"",
  ""react_press_again_text"": null,
  ""thumbnail_image_url"": null,
  ""title"": ""ZOOMサポート会"",
  ""text"": ""無料受付は本日まで・Zoom30分"",
  ""actions"": [
    {
      ""type"": ""url"",
      ""label"": ""ZOOMサポート会に申し込む"",
      ""uri"": ""https://utage-system.com/event/HKyoHqSFnPvU/register"",
      ""add_label_id"": null,
      ""del_label_id"": null
    }
  ]
}","【LINEメッセージ 1／text】
無料の活用サポート会をご案内できるのは、本日までなんです⏰

特典はこの後も見られますよ😊 今日までなのは、私たちが個別に整理する30分枠の受付だけです👇

────────────

【LINEメッセージ 2／button】
{
  ""alt_text"": ""【個別】AI活用サポート会（本日まで）のご案内"",
  ""react_type"": ""free"",
  ""react_press_again_text"": null,
  ""thumbnail_image_url"": null,
  ""title"": ""AI個別サポート会"",
  ""text"": ""無料受付は本日まで・Zoom30分"",
  ""actions"": [
    {
      ""type"": ""url"",
      ""label"": ""サポート会に申し込む"",
      ""uri"": ""https://utage-system.com/event/HKyoHqSFnPvU/register"",
      ""add_label_id"": null,
      ""del_label_id"": null
    }
  ]
}","無料の活用サポート会をご案内できるのは、本日までなんです⏰

特典はこの後も見られますよ😊 今日までなのは、私たちが個別に整理する30分枠の受付だけです👇","[name]さん、特典を使う前に面談に来ていただいても全く問題ありません。

むしろ、まだ手を付けられていない状態から「最初の一歩」を決めるために使ってください。

[サポート会予約URL]","[
  {
    ""url"": ""https://utage-system.com/event/HKyoHqSFnPvU/register"",
    ""action_id"": ""CuTNunOkS4Ul"",
    ""expiration_type"": ""none""
  }
]","使用禁止：特典リンクのクリック有無では分岐しない","https://utage-system.com/account/Y86og5tIw1hZ/scenario/PH1yn5gcw4yb/step/line/ivBKWMlrnLV6/edit","ivBKWMlrnLV6"
"YouTube_ゆっくりAI","REVIEW_YouTube_ゆっくりAI_20260810","24","2","サポート会_特典リンク未クリック","ステップ配信","6","LINE","SUP-A06","","2日後 20:00","廃止対象（UTAGEで停止）","","","【LINEメッセージ 1／text】
%line_name%さん、最後のご案内です📣

特典の使い方をレクチャーする30分Zoomサポート会は、今日で受付を終了します⏰
まだ特典を見てなくても大丈夫ですよ😊
今のうちに枠だけ確保しちゃってください🙌","【LINEメッセージ 1／text】
%line_name%さん、最後のご案内です📣

特典を自分の行動に落とす30分Zoomは、今日で受付を終了します⏰
まだ特典を開いていなくても大丈夫ですよ😊
必要なら今のうちに枠だけ確保しちゃってくださいね🙌","%line_name%さん、最後のご案内です📣

特典を自分の行動に落とす30分Zoomは、今日で受付を終了します⏰
まだ特典を開いていなくても大丈夫ですよ😊
必要なら今のうちに枠だけ確保しちゃってくださいね🙌","情報を集めるだけで終わらせないために。

AIで何ができるかより、自分の状況で何をやるかが決まると動きやすくなります。[特典名]の使い方を、あなた向けにお伝えします。","","使用禁止：特典リンクのクリック有無では分岐しない","https://utage-system.com/account/Y86og5tIw1hZ/scenario/PH1yn5gcw4yb/step/line/bnlTD8AAv6rX/edit","bnlTD8AAv6rX"
"YouTube_ゆっくりAI","REVIEW_YouTube_ゆっくりAI_20260810","25","3","サポート会_特典クリック済・未予約","ステップ配信","1","LINE","SUP-B01","","0日後 0:30","稼働中","","","【LINEメッセージ 1／text】
%line_name%さん、お受け取りいただきありがとうございます😊

特典🎁を受け取っていただいた方には、特典を活用していただくための30分のZoomサポート会を用意しています🙌
是非この機会にご活用ください👇
https://utage-system.com/event/HKyoHqSFnPvU/register","【LINEメッセージ 1／text】
%line_name%さん、お受け取りいただきありがとうございます😊

読んで「自分なら何から始める？」が少しでも曖昧なら、30分の活用サポート会で一緒に整理できますよ✨","%line_name%さん、お受け取りいただきありがとうございます😊

読んで「自分なら何から始める？」が少しでも曖昧なら、30分の活用サポート会で一緒に整理できますよ✨","無料の活用サポート会をご案内できるのは、本日までです。

[サポート会予約URL]","","キーワード受信・特典配布完了／Zoomサポート未予約／サポートシナリオ入場の翌日23:59まで／予約完了・面談済み・営業停止は除外","https://utage-system.com/account/Y86og5tIw1hZ/scenario/0hGvItT6YXmd/step/line/VSxWlsxjSOm4/edit","VSxWlsxjSOm4"
