"No.","レビュー状態","行種別","フェーズ","シナリオ名","管理ID","対象・入口条件","配信タイミング","媒体","推奨形式","管理名称","件名","本文（全文・編集可）","CTA文言","CTA URL／変数","付与ラベル","解除ラベル","停止・除外条件","終了条件／次シナリオ","実装メモ","画像URL（YouTube原本）","画像プレビュー（セル内）","UTAGE挿入位置","画像内テキスト","使用指示・注意"
"15","レビュー中","アクション","見逃し","IG_39_再公開希望受付終了","ACT-RQ-EXPIRE","再公開希望確認3通終了・ボタン未押下・面談未実施","RQ-03配信後（LINE登録14日後以降）","UTAGE","ラベル・シナリオ遷移","再公開希望なし→オプチャ","","VSLは送らず、稼働中オファーがないことを確認してオプチャへ移行する","","","vsl_replay_not_requested","offer_vsl_confirmation_active","vsl_replay_requested / offer_vsl_active / offer_consult_48h_active / roadmap_booked / sales_in_progress / meeting_completed / sales_won / sales_stop / offer_noshow_rebook_active","IG_90_オプチャ案内","RQ-03終了時に一度だけ実行。LINE登録14日後を下回る場合は14日後まで待機。","","","","",""
"16","レビュー中","アクション","面談未予約","IG_28_面談48時間受付終了","ACT-CONSULT-EXPIRE","面談ページクリックから48時間・未予約・面談未実施","クリックから厳密に48時間後","UTAGE","ラベル・シナリオ遷移","面談48時間終了→オプチャ","","48時間の面談催促を終了し、申込フォーム自体をクローズしてからオプチャへ移行する","","","roadmap_offer_expired","offer_consult_48h_active / roadmap_page_clicked_unbooked","roadmap_booked / sales_in_progress / meeting_completed / sales_won / sales_stop","IG_90_オプチャ案内","ATT-C08〜10の残り9時間／3時間／1時間表記と同じ実締切を使用。48時間中はVSL期限・オプチャを完全停止。","","","","",""
"17","レビュー中","アクション","最優先","IG_98_面談完了","ACT-MEETING-COMPLETE","実際に個別面談を実施した人","面談終了直後・担当者が手動更新","UTAGE","ラベル・シナリオ遷移","面談済み＝自動ファネルゴール","","面談を実施した時点で全自動オファーを停止する。以後のオプチャ案内は手動のみ。","","","meeting_completed","offer_seminar_active / offer_vsl_confirmation_active / offer_vsl_active / offer_consult_48h_active / offer_noshow_rebook_active / seminar_main_offered / vsl_main_offered / vsl_main_started / vsl_main_completed / roadmap_page_clicked_unbooked / openchat_invited","","自動ファネル終了","面談後にsales_won／sales_next_meeting／sales_no_next_meeting／sales_stopを手動更新。どの営業結果でも自動オプチャへは送らない。","","","","",""
"18","レビュー中","アクション","終了","IG_91_オプチャリンククリック","ACT-OPENCHAT-CLICK","オプチャ参加リンクをクリック","クリック直後","UTAGE","ラベル・シナリオ遷移","オプチャ案内停止","","YouTube側と同様、リンククリック時点で残りの初回案内を停止する","","","openchat_link_clicked","openchat_invited","roadmap_booked / sales_in_progress / meeting_completed / sales_won / sales_stop","IG_90_オプチャ案内を停止して終了","J01〜J02の全リンクへ同じクリックアクションを設定。実参加判定ではなくリンククリックを停止点にする。","","","","",""
"19","レビュー中","アクション","面談無断欠席","IG_82_無断欠席再予約終了","ACT-NOSHOW-EXPIRE","無断欠席後3通終了・未再予約・面談未実施","NS-03配信後","UTAGE","ラベル・シナリオ遷移","無断欠席未再予約→オプチャ","","無断欠席後の再予約オファーを終了し、面談未実施者だけオプチャへ移行する","","","roadmap_noshow_rebook_expired","offer_noshow_rebook_active","roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","IG_90_オプチャ案内","YouTubeの無断欠席3通終了後の出口。事前キャンセル・日程変更はこのルートへ入れない。","","","","",""
"20","レビュー中","メッセージ","入口・特典","IG_00_登録直後","IG-ENTRY-01","Instagram経由でLINE登録・未配布","登録直後","LINE","画像＋テキスト（特典リンク4件）（画像: 01_10大特典_受取ガイド.png）","IG-BEN-01","","【LINEメッセージ 1／text】
ご登録ありがとうございます！😊
こすもすです。

さっそく、公式LINE登録特典をお届けします🎁

━━━━━━━━━━
① AI海外起業ビジネスモデル10選
━━━━━━━━━━
海外で生まれているAIビジネスを、10個に厳選してまとめています。

▼こちらからご覧ください
https://utagesystem.s3.ap-northeast-1.amazonaws.com/GX6OYW2fVtRD/O7A5XYh2PyVYoV5DWPTqUYkYOSiAt8Z9kYkydMPm.pdf

━━━━━━━━━━
② Claude Code・Codexなど
環境セットアップ完全手順書
━━━━━━━━━━
AIを使ってホームページやツールを作るための準備を、初心者向けに解説しています。

▼こちらからご覧ください
https://utagesystem.s3.ap-northeast-1.amazonaws.com/GX6OYW2fVtRD/86Ln3pi7lvBUS3hi5m12ZvAI8UoMFEoXQLI00VIp.pdf

━━━━━━━━━━
③ これだけは知っておくべきコマンド5選
━━━━━━━━━━
AIを使ううえで、まず覚えておきたい基本コマンドをまとめています。

▼こちらからご覧ください
https://utagesystem.s3.ap-northeast-1.amazonaws.com/GX6OYW2fVtRD/YHSlEkeZB9T9gsqQGIPWmzvSq9m4QFLmnR8dtXFg.pdf

━━━━━━━━━━
④ 知っておくと差がつくSkills 10選
━━━━━━━━━━
AIに専門的な仕事を任せやすくする、便利なSkillsをまとめています。

▼こちらからご覧ください
https://utagesystem.s3.ap-northeast-1.amazonaws.com/GX6OYW2fVtRD/5bOaVbp2Mj7aqeVK3rQodv8Agq0D0j8nxLVup94C.pdf

まずは気になるものから、ぜひご活用ください☺️

先ほどお渡しした特典①〜④は、
こちらのメッセージからいつでも確認できます😊✨

「どれから見よう…」と迷ったら、
まずは1番気になるものを1つだけ開いて、
保存しておいてください👇🎁","特典1〜4をまとめて受け取る","[
  {
    ""url"": ""https://utagesystem.s3.ap-northeast-1.amazonaws.com/GX6OYW2fVtRD/O7A5XYh2PyVYoV5DWPTqUYkYOSiAt8Z9kYkydMPm.pdf"",
    ""action_id"": null,
    ""expiration_type"": ""none""
  },
  {
    ""url"": ""https://utagesystem.s3.ap-northeast-1.amazonaws.com/GX6OYW2fVtRD/86Ln3pi7lvBUS3hi5m12ZvAI8UoMFEoXQLI00VIp.pdf"",
    ""action_id"": null,
    ""expiration_type"": ""none""
  },
  {
    ""url"": ""https://utagesystem.s3.ap-northeast-1.amazonaws.com/GX6OYW2fVtRD/YHSlEkeZB9T9gsqQGIPWmzvSq9m4QFLmnR8dtXFg.pdf"",
    ""action_id"": null,
    ""expiration_type"": ""none""
  },
  {
    ""url"": ""https://utagesystem.s3.ap-northeast-1.amazonaws.com/GX6OYW2fVtRD/5bOaVbp2Mj7aqeVK3rQodv8Agq0D0j8nxLVup94C.pdf"",
    ""action_id"": null,
    ""expiration_type"": ""none""
  }
]","ig_benefit_1to4_delivered","","面談予約済／商談中／成約／営業停止は除外","IG_10_セミナー募集","吉本さん原案 ENT-01 の文章・絵文字を使用。配信時刻・分岐・変数は確定済みInstagram設計を優先。","https://drive.usercontent.google.com/download?id=1Nh4_vdd1fOpvrmIFTaxjUSrK2ADEIV-t&export=view&confirm=t","=IF(U32="""","""",IMAGE(U32))","本文内リンク","公式LINE登録で豪華10大特典（AI×ひとり起業完全版）","吉本さん原案 8a963208-e6c2-4363-8049-9099e2528212.png を原寸・無加工で使用。文章・絵文字・分岐・配信時刻は承認済み行を維持する。"
"21","レビュー中","メッセージ","入口・特典","IG_10_セミナー募集","IG-SEM-01","特典①〜④配布済み・セミナー未申込","登録から0日後 0:05","LINE","画像＋テキスト＋ボタン（画像: 02_第5特典_セミナー招待券.png）","IG-SEM-01","","【LINEメッセージ 1／text】
%line_name%さん、大変お待たせしました！😊🌟

登録特典の【特典⑤】として、
特別なオンラインセミナーの招待券をお届けします🎟️✨

毎月100名以上の方にご参加いただいている、AIとビジネスを繋げる時間となっております！
どうぞ楽しみにしていてください🌟

📢 セミナー：AIでひとり起業攻略法
📅 日時：%event_schedule%
💻 形式：オンライン（ご自宅から参加OK）
✍️参加リンク：


セミナーを最後までご視聴いただいた方には、
最後に残りの【豪華特典⑥〜⑩】をまとめてお渡しします🎁

▼詳細・お申し込みはこちらから👇😊
[セミナー申込URL]","無料で参加登録する","[セミナー申込URL｜初回クリック時ACT-SEM-PAGE]","seminar_main_offered / offer_seminar_active","","seminar_page_clicked_unregistered / seminar_main_registered / offer_vsl_confirmation_active / offer_vsl_active / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","クリック→IG_13_SEM-C／申込完了→IG_20／未反応→次メッセージ","吉本さん原案 SEM-U01 の文章・絵文字を使用。配信時刻・分岐・変数は確定済みInstagram設計を優先。","https://drive.usercontent.google.com/download?id=1_VhKIcMLuby5D7FQQ7MLGTJcMseY4f7I&export=view&confirm=t","=IF(U33="""","""",IMAGE(U33))","本文→CTA","登録特典⑤・オンラインセミナー招待券／参加者へ特典⑥〜⑩","吉本さん原案 7d3a84d1-785a-4cbe-95c8-eec7c4f543d5.png を原寸・無加工で使用。文章・絵文字・分岐・配信時刻は承認済み行を維持する。"
"22","レビュー中","メッセージ","セミナー募集","IG_10_セミナー募集_未申込者","LQpvKDFjDGsM","Instagram 10大特典登録・セミナー未申込","登録から0日後 10:00","LINE","テキスト","SEM-A01（開催14日前10:00）","","【LINEメッセージ 1／text】
特典①〜④をご覧になって、
「自分なら、何から始めればいいんだろう？🤔」
と感じた方へ。

先ほど、そのモヤモヤをすっきり解消する
【特典⑤：セミナー招待券】をお送りしました！🎟️🚀
質疑応答の時間もたくさんご用意しているので、まずは現状を変えるための一歩としてご参加していただければと思います☺️
ぜひチェックしてください✨","セミナー招待券を受け取る","[セミナー申込URL｜初回クリック時ACT-SEM-PAGE]","","","seminar_page_clicked_unregistered / seminar_main_registered / offer_vsl_confirmation_active / offer_vsl_active / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","クリック→IG_13_SEM-C／申込完了→IG_20／未反応→次メッセージ","吉本さん原案 BEN-C02 の文章・絵文字を使用。配信時刻・分岐・変数は確定済みInstagram設計を優先。","https://drive.usercontent.google.com/download?id=1hDHYwE25L5n73r3M4u7dnhZP935HQ8-5&export=view&confirm=t","","本文直前（画像→本文→CTA）","AIでひとり起業攻略法とは何か／具体的な次の一歩","吉本さん原案 a61066b1-911e-4aa9-9dae-effb289e7601.png を原寸・無加工で使用。文章・絵文字・分岐・配信時刻は承認済み行を維持する。"
"23","レビュー中","メッセージ","セミナー募集","IG_10_セミナー募集_未申込者","AqiRBjFsP3Kl","Instagram 10大特典登録・セミナー未申込","登録から2日後 19:00","LINE","テキスト＋ボタン","SEM-A02（開催12日前19:00）","","【LINEメッセージ 1／text】
先ほどお送りした「セミナー招待状」は
確認できましたか？😊

残りの5大特典（⑥〜⑩）は、
特に有料級の内容となっているため、
セミナーの最後に【参加者限定】でお渡しします🎁

予定が合う方は、忘れないうちに
先に席だけ確保しておいてくださいね👇
[セミナー申込URL]","セミナーに申し込む","[セミナー申込URL｜初回クリック時ACT-SEM-PAGE]","","","seminar_page_clicked_unregistered / seminar_main_registered / offer_vsl_confirmation_active / offer_vsl_active / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","クリック→IG_13_SEM-C／申込完了→IG_20／未反応→次メッセージ","吉本さん原案 SEM-U02 の文章・絵文字を使用。配信時刻・分岐・変数は確定済みInstagram設計を優先。","https://drive.usercontent.google.com/download?id=1N4ce4deT64SE9bn9-tsgLF3B-K6o4coO&export=view&confirm=t","","本文直前（画像→本文→CTA）","セミナー参加限定特典①〜⑤（豪華特典⑥〜⑩）","吉本さん原案 84dbdc97-a0b4-4788-9d9c-6d402e369798.png を原寸・無加工で使用。文章・絵文字・分岐・配信時刻は承認済み行を維持する。"
"24","レビュー中","メッセージ","セミナー募集","IG_10_セミナー募集_未申込者","JHSy8ypSk7Oy","Instagram 10大特典登録・セミナー未申込","登録から4日後 10:00","LINE","画像＋テキスト＋ボタン（画像: 03_参加者限定_残り5特典.png）","SEM-A03（開催10日前10:00）","","【LINEメッセージ 1／text】
セミナーの最後にお渡しする
【限定特典⑥〜⑩】について少しご紹介します✨

内容は、【AIで動画制作法】や、【AIを使ったホームページ制作法】など、
セミナーの理解をさらに深めて「次の一歩」へすぐ踏み出せるような、
超・実践的なお役立ち資料にしています！💡

ぜひ楽しみにしていてくださいね😊
▼セミナーのお申し込みはこちら
[セミナー申込URL]","残り5特典を受け取るために参加する","[セミナー申込URL｜初回クリック時ACT-SEM-PAGE]","","","seminar_page_clicked_unregistered / seminar_main_registered / offer_vsl_confirmation_active / offer_vsl_active / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","クリック→IG_13_SEM-C／申込完了→IG_20／未反応→次メッセージ","吉本さん原案 SEM-U03 の文章・絵文字を使用。配信時刻・分岐・変数は確定済みInstagram設計を優先。","","=IF(U35="""","""",IMAGE(U35))","本文直前（画像→本文→CTA）","","吉本さん原案 SEM-U03 を基礎。文章・絵文字を優先し、配信時刻・分岐・変数だけ現行確定ルールへ合わせる。"
"25","レビュー中","メッセージ","セミナー募集","IG_10_セミナー募集_未申込者","pn1FoJ7Cr80a","Instagram 10大特典登録・セミナー未申込","登録から6日後 19:00","LINE","テキスト＋ボタン","SEM-A04（開催8日前19:00）","","【LINEメッセージ 1／text】
今回のセミナーでは、単にAIの知識を
増やすだけではなく、以下の3点を
あなたのペースに合わせて整理していきます🌱✨

１．今のあなたに実践できること🚀
２．あなたの生活・仕事で「AIを活かせる場面」🤖
３．今日からスタートできる「最初の一歩」💪

▼お席の確保はこちらからどうぞ👇😊
[セミナー申込URL]","セミナー内容を確認する","[セミナー申込URL｜初回クリック時ACT-SEM-PAGE]","","","seminar_page_clicked_unregistered / seminar_main_registered / offer_vsl_confirmation_active / offer_vsl_active / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","クリック→IG_13_SEM-C／申込完了→IG_20／未反応→次メッセージ","吉本さん原案 SEM-U17 の文章・絵文字を使用。配信時刻・分岐・変数は確定済みInstagram設計を優先。","","=IF(U34="""","""",IMAGE(U34))","本文直前（画像→本文→CTA）","","吉本さん原案 SEM-U17 を基礎。文章・絵文字を優先し、配信時刻・分岐・変数だけ現行確定ルールへ合わせる。"
"26","レビュー中","メッセージ","セミナー募集","IG_10_セミナー募集_未申込者","IG-SEM-D7-10-NEW","Instagram 10大特典登録・セミナー未申込","登録から7日後 10:00","LINE","テキスト＋ボタン","SEM-D7-01（開催7日前10:00）","","【LINEメッセージ 1／text】
セミナー開催まで【あと1週間】です！🗓️✨


▼お席の確保はこちらからどうぞ👇😊
[セミナー申込URL]","セミナー内容を確認する","[セミナー申込URL｜初回クリック時ACT-SEM-PAGE]","","","seminar_page_clicked_unregistered / seminar_main_registered / offer_vsl_confirmation_active / offer_vsl_active / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","クリック→IG_13_SEM-C／申込完了→IG_20／未反応→次メッセージ","吉本さん原案 SEM-U17 の文章・絵文字を基礎に、開催1週間前の案内だけ追記。セミナー申込で即停止し、登録時点で7日前を過ぎている場合はスキップ。","","","本文直前（画像→本文→CTA）","","吉本さん原案 SEM-U17 を基礎。本文・絵文字を優先し、開催1週間前の表記と分岐・変数だけ現行確定ルールへ合わせる。"
"27","レビュー中","メッセージ","セミナー募集","IG_10_セミナー募集_未申込者","IG-SEM-D7-20-NEW","Instagram 10大特典登録・セミナー未申込","登録から7日後 20:00","LINE","テキスト＋ボタン","SEM-D7-02（開催7日前20:00）","","【LINEメッセージ 1／text】
セミナー開催まで【あと1週間】です！🗓️✨

セミナーのお申し込みは、お名前と
メールアドレスを入力するだけで完了します📝✨

ご登録後、参加URLをLINEとメールの
両方へお送りします。

まずは開催日時が合うかだけでも確認してみてくださいね👇😊
[セミナー申込URL]","日時を確認して申し込む","[セミナー申込URL｜初回クリック時ACT-SEM-PAGE]","","","seminar_page_clicked_unregistered / seminar_main_registered / offer_vsl_confirmation_active / offer_vsl_active / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","クリック→IG_13_SEM-C／申込完了→IG_20／未反応→次メッセージ","吉本さん原案 SEM-U18 の文章・絵文字を基礎に、開催1週間前の案内だけ追記。セミナー申込で即停止し、登録時点で7日前を過ぎている場合はスキップ。","","","本文直前（画像→本文→CTA）","","吉本さん原案 SEM-U18 を基礎。本文・絵文字を優先し、開催1週間前の表記と分岐・変数だけ現行確定ルールへ合わせる。"
"28","レビュー中","メッセージ","セミナー募集","IG_10_セミナー募集_未申込者","hwMrSLSGqmde","Instagram 10大特典登録・セミナー未申込","登録から8日後 10:00","LINE","画像＋テキスト＋ボタン（画像: 04_セミナーで学べること.png）","SEM-A05（開催6日前10:00）","","【LINEメッセージ 1／text】
今回のセミナーは、単に「AIの知識を増やす」
だけのものではありません💡

このセミナーで1番多い声は
「AIを学んだけど成果が出ない理由がすっきり解決した！」✨
「これまでYouTubeで学んできたけど、自分にあったAIの活かし方がようやくわかった！」💡
「今の私が次にやるべきアクションが明確になりました！」🚀

実はAIの知識だけ増やしても、ビジネスへの活かし方に繋がりません。
「AIを自分の仕事やキャリアにどう活かすか」
を整理し、聞いた後に【具体的に何をすればいいか】
まで、一緒に考えられる内容になっています！🚀

▼席の確保はこちらからどうぞ👇
[セミナー申込URL]","セミナー詳細を見る","[セミナー申込URL｜初回クリック時ACT-SEM-PAGE]","","","seminar_page_clicked_unregistered / seminar_main_registered / offer_vsl_confirmation_active / offer_vsl_active / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","クリック→IG_13_SEM-C／申込完了→IG_20／未反応→次メッセージ","吉本さん原案 SEM-U04 の文章・絵文字を使用。配信時刻・分岐・変数は確定済みInstagram設計を優先。","","","本文直前（画像→本文→CTA）","","吉本さん原案 SEM-U04 を基礎。文章・絵文字を優先し、配信時刻・分岐・変数だけ現行確定ルールへ合わせる。"
