"シナリオ","No.","メッセージID","配信種別","経過日数","登録後の経過時間","推奨形式","リンク有無","メッセージ本文"
"動画未視聴","11","254338","step-time","1日","13:00","テキスト","なし","視聴期限まで、あと半日もありません。 🔥 💡

「後で見よう」って思ってるうちに、本気でリンクが失効します。

今のうちにせめてブラウザで開いておいてください。

お陰様で動画は大反響をいただいていて、
感想もすでにLINEで50件以上もらっている状況です！

[name]さんの眠った強みが活かされる
小さな事業の設計をお手伝いさせていただけませんか？"
"動画未視聴","12","254339","step-time","1日","16:00","テキスト＋リンク","あり","気をつけてください。 📣

[name]さん、こんにちは！すやです😊

この動画には、一度見ると「AIで稼げない」という思い込みが崩れる仕掛けがあります。

それを体感せずに「自分には無理」と思い続けるのは、あまりにもったいないので、是非動画を見て実際に体感してください！

https://utage-system.com/p/W8wW6ShW0iHd"
"動画未視聴","13","254340","step-time","1日","17:00","テキスト","なし","あと7時間で視聴できなくなります。 🙌 👀"
"動画未視聴","14","254341","step-diff","1日","20:00","テキスト","なし","3ヶ月で100万円という現実 ✨ 🔥

「そんなの無理でしょ」と思う方が多いですが、これはうちのスクール生の平均的な到達数字です。

月に換算すると約33万円。

AIの利用料は月数千円だけ。

だから、ほぼ全額が手元に残る計算になります。"
"動画未視聴","15","254342","step-time","1日","21:00","テキスト＋リンク","あり","【業務連絡】視聴期限、間もなくです。 🌱

こちらからご覧ください👇
https://utage-system.com/p/W8wW6ShW0iHd"
"動画未視聴","16","254343","step-time","1日","21:30","テキスト＋リンク","あり","ネタバレします。 🙌

この最後では、AIエージェントでマネタイズするための「隠された真実」を暴露しています。

これを知るだけで…

・なぜ、これまで頑張っても人生が1ミリも変わらなかったのか？

・ブログ、物販、SNS、FX、YouTube、資格取得。全部AIに任せればうまくいく理由

・知らないということが「最大の武器」に反転する理由

・AIはツールではなく。。。

・「自分で努力しなきゃ」を手放した瞬間に全部動き始めた人たちの共通点

・etc

…全て、ここに答えがあります。

こちらからご覧ください👇
https://utage-system.com/p/W8wW6ShW0iHd"
"動画未視聴","17","254355","step-time","1日","22:30","テキスト","なし","あと1時間で視聴できなくなります！ 📣 ✨"
"動画未視聴","18","254356","step-time","1日","23:00","テキスト＋リンク","あり","なぜAIで一人起業が「今」なのか 😊

CodexやClaude Codeが普及してからまだ数か月。

iPhoneが出た直後に「今からアプリを作っても遅い？」と思った人がいましたか？

今がまさにそのタイミングです。

こちらからご覧ください👇
https://utage-system.com/p/W8wW6ShW0iHd"
"動画未視聴","19","254357","step-time","1日","23:10","テキスト＋リンク","あり","東大卒→ホスト→起業失敗→7億円で会社売却 💡

すやさんの経歴、初めて聞いた時「波乱万丈すぎる」と思いましたが、聞けばわかります。

本当に一度どん底まで落ちた人が言う話だから、説得力が違う。

との感想をいただいています。

こちらからご覧ください👇
https://utage-system.com/p/W8wW6ShW0iHd"
"動画未視聴","20","254358","step-time","1日","23:20","テキスト＋リンク","あり","この動画を見てほしい人 📣

・「稼げない」が口癖になっている人
・毎日同じ仕事を繰り返している人
・やりたいことがあるのに踏み出せていない人

あなたに、ぜひ見てほしいです。

こちらからご覧ください👇
https://utage-system.com/p/W8wW6ShW0iHd"
"動画未視聴","21","254360","step-time","1日","23:50","テキスト＋リンク","あり","残り10分です。 👀

本当にこの動画価値があるのか？

って思ってる人もいると思うので、それを少しお伝えするために、本編の一部を一覧でお送りしますね！

・僕が７年以上かけて研究してきた起業の成功法則

・100名以上の方と向き合ってきた中で見つけたAIが得意な人と苦手な人の違い

・私自身がどん底から這い上がることが出来た決定的な発見

・強みを活かした小さな事業を作ったAI起業家に聞いてわかったコト

・一度聴いたらやらずには済まなくなる「とある仕掛け」

こんな内容について惜しみなく語っています。

こちらからご覧ください👇
https://utage-system.com/p/W8wW6ShW0iHd"
"動画未視聴","22","254361","step-time","2日","0:00","テキスト","なし","視聴期限、終了します。 ✨ 🔥

お付き合いいただきありがとうございました。

今後も情報をお届けしますので、引き続きよろしくお願いします！"
"動画未視聴","23","254359","step-time","2日","23:46","テキスト","なし","業務連絡です。あと10分程度で動画の公開が終了します！ 😊 🌱

一人でコツコツ継続できない。

AIを触るだけでも腰が重い。

ビジネスに挑戦したくても資金がない。

…でも全部、考え方が間違ってただけでした。

100名以上のAI起業をサポートしてわかった「うまくいく人」と「いかない人」のたった1つの分岐点。

その全ては、この動画の中にあります。

もしまだ動画を見ていなかったという方は、一度このLINEにご返信ください。

特別にご案内できる場合があります。"
"動画一部視聴","1","254362","step-diff","0日","0:30","テキスト＋リンク","あり","ありがとうございます。でも… ✨

動画の視聴、ありがとうございます！

実は「AIひとり起業セミナー」は後半になるにつれて、どんどん「自分でもできるかも」という感覚が生まれる構成になっています。

特にラスト30分は…一度知ってしまったら、見る前の自分に戻れなくなります。

視聴は３日間できるようにしています。

こちらからご覧ください👇
https://utage-system.com/p/W8wW6ShW0iHd"
"動画一部視聴","2","254363","step-diff","0日","1:00","テキスト","なし","これ、誰のことかわかりますか？ 👀 😊

・上司に意見を求められると頭が真っ白になる
・夜中まで仕事しても終わらない
・「気にしすぎ」と言われてもモヤモヤが消えない
・本当にやりたいことがわからない

↑これ、すやさんの昔の話です。

その人が今、12人のAIエージェントで事業を回している。

もし1つでも当てはまったら、最後まで見る価値があります。

答えは、動画の後半にあります。"
"動画一部視聴","3","254364","step-diff","0日","3:00","テキスト","なし","こんなLINEが来ました。 🔥 💡

あなたはどう思いますか？"
"動画一部視聴","4","254365","step-diff","1日","0:00","テキスト＋リンク","あり","まだ途中ですか？ 📣

[name]さん、動画はお楽しみいただけてますか？

「AIひとり起業セミナー」は後半に入ると、自分の中で「何か」が変わり始めるのを感じる方が多いです。

「もっと早く出会いたかった」
「これを知らないままの人生を想像するとゾッとします」

最後まで見た方には「ロードマップ作成会」のご案内もしてますので、ぜひ最後までどうぞ。

こちらからご覧ください👇
https://utage-system.com/p/W8wW6ShW0iHd"
"動画一部視聴","5","254369","step-time","1日","19:00","テキスト","なし","こんな事業が生まれています。 🙌 👀

動画の後半で紹介している「AIで一人起業した先輩たち」、もうご覧になりましたか？

まだの方のために一部だけ↓
・LINEスタンプで20万円
・ホームページ制作でコナラ90万円
・ゲーム制作で25万円

全ての事例は後半でご紹介しています。

「自分にもできるかも」と思ったら…次のステップもあります。"
"動画一部視聴","6","254370","step-time","2日","19:00","テキスト＋リンク","あり","後半に残っているものを教えます。 🔥

① claudecodeを使った実演（サプリ事業のゼロから立ち上げ）
② Robloxでゲーム事業を作る方法
③ 最初の100万円を3ヶ月で稼ぐ方法
④ AIひとり起業ロードマップ作成会のご案内（20名限定）

まだ間に合います。

こちらからご覧ください👇
https://utage-system.com/p/W8wW6ShW0iHd"
"動画一部視聴","7","254547","step-time","2日","21:00","テキスト＋リンク","あり","大切なお知らせ。 🌱

「もう少し復習したい」という声をいただいて、あと１日視聴期間を延長することにしました。

せっかくの機会ですので、後半まで必ず見て
あなたの人生にお役立てていただけると嬉しいです。

こちらからご覧ください👇
https://utage-system.com/p/W8wW6ShW0iHd"
"動画一部視聴","8","254372","step-time","3日","13:00","テキスト","なし","知ってました？実は… 💡 🙌

視聴できるのは、もうあと半日もないんです。

「後で見よう」って思ってるうちに本気でリンクが失効します。

今のうちにせめてブラウザで開いておいてください。

お陰様で動画書籍は大反響をいただいていて、
感想もすでにLINEで50件以上もらっている状況です！

最後まで見てくれた方には「ロードマップ作成会」もご用意しています。"
"動画一部視聴","9","254373","step-time","3日","17:00","テキスト","なし","あと7時間で消えます。 📣 ✨"
"動画一部視聴","10","254375","step-time","3日","19:00","テキスト＋リンク","あり","気をつけてください。 😊

[name]さん、こんにちは！すやです😊

「AIひとり起業セミナー」は、視聴するだけで「これまでの常識が覆る」ある気づきが起きるように仕掛けを施してあります。

一度視聴したら元に戻れなくなる仕掛けなので、ご視聴の際はできるだけ集中してご視聴くださいね。中途半端だともったいないので。

https://utage-system.com/p/W8wW6ShW0iHd"
"動画一部視聴","11","254376","step-time","3日","20:00","テキスト","なし","なぜここまで推すのか 🔥 💡

すやさんがAIひとり起業ロードマップ作成会をやっている理由は一つです。

「AIで一人起業できる人を増やしたい」

ロードマップ作成会は30分、無理な勧誘なし。枠は20名限定です。

最後まで見た人だけがお申し込みいただけます。"
"動画一部視聴","12","254377","step-time","3日","21:00","テキスト＋リンク","あり","【業務連絡】残りわずかです。 📣

最後まで視聴された方には、ロードマップ作成会のご案内があります。

一緒に、あなたのAI起業プランを設計しましょう。

こちらからご覧ください👇
https://utage-system.com/p/W8wW6ShW0iHd"
"動画一部視聴","13","254378","step-time","3日","23:00","テキスト＋リンク","あり","まだ見ていない後半があるとしたら… 👀

「AIで今何を作れるのか」の実演デモ
「3ヶ月で100万円稼ぐ方法」

今夜中に、ぜひ。

今夜０時で終了です。

こちらからご覧ください👇
https://utage-system.com/p/W8wW6ShW0iHd"
"動画一部視聴","14","254379","step-time","3日","23:00","テキスト","なし","あと1時間で視聴できなくなります！ ✨ 🔥"
"動画一部視聴","15","254380","step-time","3日","23:59","テキスト＋リンク","あり","ラスト10分です。 🌱

後半の一番大事な話は「最初の100万円をどうやって作るか」です。

今夜が最後のチャンスです。

こちらからご覧ください👇
https://utage-system.com/p/W8wW6ShW0iHd"
"動画一部視聴","16","254381","step-time","4日","0:00","テキスト","なし","視聴期間、終了します。 💡 🙌

[name]さん、何度もLINEにお付き合いくださりありがとうございました。

今後も特別なイベント等でご連絡いたしますので、またよろしくお願いいたします！"
"動画視聴完了","1","254548","step-diff","0日","0:00","テキスト＋リンク","あり","[name]さん、最後まで視聴いただきありがとうございました！ ✨

「AIで一人起業できる」と少しでも感じていただけたなら嬉しいです。

今、30分のAIひとり起業ロードマップ作成会を受け付けています。

あなたに合ったAI起業プランを、一緒に設計させていただきます。

こちらからご覧ください👇
https://utage-system.com/p/W8wW6ShW0iHd"
"動画視聴完了","2","254366","step-diff","0日","1:00","テキスト","なし","ロードマップ作成会で何をするのか、わかりやすくお伝えします。 👀 😊

・今のあなたの状況をヒアリング
・AIでどんな事業が向いているか診断
・最初の100万円を稼ぐまでのロードマップ設計

ロードマップ作成会は30分です。

その30分で「あとは動くだけ」の状態にします。"
"動画視聴完了","3","254367","step-diff","0日","2:00","テキスト＋リンク","あり","残り枠が少なくなっています。 💡

ロードマップ作成会の枠は20名限定です。

「見てよかった」で終わらせるか、「あの日から変わった」にするか。

その分岐点が、このロードマップ作成会です。

こちらからご覧ください👇
https://utage-system.com/p/W8wW6ShW0iHd"
"動画視聴完了","4","254368","step-diff","0日","4:00","テキスト＋リンク","あり","同じセミナーを見た先輩たちです。 📣

・LINEスタンプで20万円（ロードマップ作成会後1ヶ月）
・ホームページ制作でコナラ90万円（ロードマップ作成会後2ヶ月）
・ゲーム制作で25万円（ロードマップ作成会後6週間）

全員、ロードマップ作成会でロードマップを設計してからスタートしています。

こちらからご覧ください👇
https://utage-system.com/p/W8wW6ShW0iHd"
"動画視聴完了","5","254371","step-time","1日","11:20","テキスト","なし","「じゃあ自分はどこから始めればいいの？」 🙌 👀

セミナーを最後まで見て、こう思いませんでしたか？

それを、ロードマップ作成会で一緒に整理していきます。

・今のスキルで何が作れるか
・どんなビジネスモデルが合っているか
・最初の一歩は何か

全部、30分で整理できます。"
"動画視聴完了","6","254374","step-time","1日","19:00","テキスト＋リンク","あり","チャンスを逃していいですか？ 🔥

ロードマップ作成会の枠は20名限定です。

ロードマップ作成会では、今の状況を整理し、あなたに合った最初の一歩を一緒に設計します。

こちらからご覧ください👇
https://utage-system.com/p/W8wW6ShW0iHd"
"動画視聴完了","7","254426","step-time","2日","13:00","テキスト＋リンク","あり","締め切ります！ 🌱

セミナーで話した内容を、知識として終わらせるか、自分の事業として実行するか。

その分岐点が、このロードマップ作成会です。

今日いっぱいで受付を締め切ります⬇️
（セミナー動画下のボタンからお申し込みいただけます）

こちらからご覧ください👇
https://utage-system.com/p/W8wW6ShW0iHd"
"動画視聴完了","8","254427","step-time","2日","18:46","テキスト","なし","満員御礼！ですが1つだけ。 💡 🙌

ロードマップ作成会の枠、満員になりました。

「間に合わなかった、でもどうしても話したい！」という複数の声をいただきまして。

枠をいくつか追加しました。"
"動画視聴完了","9","254428","step-time","2日","20:13","テキスト＋リンク","あり","すやさんが伝えたいのは、たった1つです。 ✨

東大卒ホスト。起業失敗。どん底。

そこから「AIで一人起業できる」に気づいただけで全部変わった。

あなたにも、その気づきを人生で体験してほしい。

ロードマップ作成会で、一緒に第一歩を踏み出しませんか？

こちらからご覧ください👇
https://utage-system.com/p/W8wW6ShW0iHd"
"動画視聴完了","10","254429","step-time","2日","23:00","テキスト＋リンク","あり","あと1時間で受付を終了します。 😊

セミナーを見て「やってみたい」と思った気持ちを、今行動に変えましょう。

こちらからご覧ください👇
https://utage-system.com/p/W8wW6ShW0iHd"
"動画視聴完了","11","254430","step-time","2日","23:50","テキスト＋リンク","あり","ラスト10分です。 💡

何度もLINEにお付き合いくださり、ありがとうございます。

ロードマップ作成会でお待ちしています。

こちらからご覧ください👇
https://utage-system.com/p/W8wW6ShW0iHd"
"動画視聴完了","12","254431","step-time","3日","0:00","テキスト＋リンク","あり","ありがとうございました。 📣

只今をもって、AIひとり起業ロードマップ作成会の受付を終了しました。

[name]さん、何度もLINEにお付き合いくださりありがとうございました。

今後も特別なイベント等でご連絡いたしますので、またよろしくお願いいたします！

無料勉強会などはこちらのオプチャで開催しておりますので、是非こちらもご登録ください！

こちらからご覧ください👇
https://utage-system.com/p/W8wW6ShW0iHd"
"再公開希望","1","254432","step-time","1日","19:00","テキスト","なし","申込期限を逃してしまいましたか？ 📣 ✨

ロードマップ作成会の受付が終了しました。

「もう一度、ロードマップ作成会に申し込みたい」という方にだけ、24時間限定で再受付します。

再受付を希望する方は下のボタンをタップしてください。

※タップした瞬間に再受付リンクをお届けします"
"再公開希望","2","254434","step-time","1日","20:00","テキスト","なし","気になるのはどれですか？ 👀 😊

「AIひとり起業セミナー」のロードマップ作成会で話せる内容です↓

・今のスキルで何が作れるか
・どんなビジネスモデルが向いているか
・最初の100万円のロードマップ
・AIエージェントのセットアップ方法
・スクールの詳細とサポート内容"
"再公開希望","3","254435","step-time","1日","23:00","テキスト","なし","ゾッとしました。 🔥 💡

「動画をみたら、今まで自分にできないと思ってたことが全部できそうになった」

↑こんなメッセージが届いています。

他にも…
「後半30分で自分のロードマップが見えてきました」
「もっと早く見ておけばよかった」

再受付は明日の24時まで受け付けています。"
"再公開希望","4","254437","step-time","2日","19:00","テキスト","なし","あと5時間。迷っていますか？ 🌱 📣

再受付の締め切り、あと5時間です。

AIで起業した先輩たちの変化↓
・副業で稼げなかった → LINEスタンプで月20万
・何から始めるか分からなかった → ゲーム制作で25万
・パソコンが苦手だった → ホームページ制作で90万

全員、ロードマップを設計してからのスタートです。"
"再公開希望","5","254436","step-time","2日","20:00","テキスト","なし","一度話すと、変わります。 🙌 👀

「動画を見てみたら、全部がつながった」

という声が多いです。

なぜかというと、頭の中でバラバラだった情報が、自分ゴトとして整理されるから。

再受付の締め切りは今日の24時まで。"
"再公開希望","6","254439","step-time","2日","23:00","テキスト＋リンク","あり","残り1時間です。 🔥

実は、動画を最後まで見た方にはロードマップ作成会をご案内しています。

動画は倍速でも見れるので、実質50分。

残り1時間です。

こちらからご覧ください👇
https://utage-system.com/p/W8wW6ShW0iHd"
"再公開希望","7","254440","step-time","2日","23:50","テキスト","なし","あと10分。最後に1つだけ。 😊 🌱

再受付の締め切り、残り10分です。

この動画は「変わりたいのか、変わらなくていいのか」を決める場所ではありません。

「どうやって変わるか」を一緒に決める場所です。"
"再公開希望","8","254441","step-diff","3日","0:00","テキスト","なし","ありがとうございました。 💡 🙌

再受付、終了しました。

お付き合いいただきありがとうございました。

またタイミングを見てご連絡いたします！"
"再公開実行","1","254442","step-diff","0日","1:00","テキスト＋リンク","あり","まだ迷っていますか？！！！！ ✨

そう思っているかもしれませんが、動画を視聴した方からは…

「AIでこんなことができるとは思わなかった」
「自分にもできそうという気持ちになれました」

こんなリアクションをいただいています！

ちなみにロードマップ作成会で特に反響が大きいのは
「自分に向いている事業の見つけ方」
についてです。

残り23時間です。

こちらからご覧ください👇
https://utage-system.com/p/W8wW6ShW0iHd"
"再公開実行","2","254443","step-diff","0日","19:00","テキスト","なし","え、もう5時間しかないの？ 👀 😊

実はもうあと5時間で受付が終わります。

どれが気になりますか？

ロードマップ作成会の内容ダイジェスト↓
① あなたに合ったAI事業の発掘
② 最初の100万円ロードマップ設計
③ AIエージェントのセットアップ方法
④ スクールの詳細説明（59.8万〜）"
"再公開実行","3","254444","step-diff","0日","20:00","テキスト＋リンク","あり","恐ろしい事実に、お気づきでしょうか？ 💡

再受付、あと4時間なんですが…

実質あと4時間もないってことに。

ちなみに、ロードマップ作成会は30分です。

「30分で人生変わるの？」と思われるかもしれませんが、変わった人がいっぱいいます。

「あとで申し込もう」って思ってるうちに本気で終わってたりします。

こちらからご覧ください👇
https://utage-system.com/p/W8wW6ShW0iHd"
"再公開実行","4","254445","step-diff","0日","21:00","テキスト＋リンク","あり","証言者の声 📣

「ロードマップ作成会を受けた後、何から始めればいいかが明確になりました」
「すやさんの話を聞いて、ようやく自分のビジョンが見えた気がします」
「AIエージェントを実際に触りながら一緒に考えてもらえて、本当によかった」

配布時間、残り3時間です。

こちらからご覧ください👇
https://utage-system.com/p/W8wW6ShW0iHd"
"再公開実行","5","254446","step-diff","0日","22:00","テキスト","なし","気づかない間に… 🙌 👀

実は、もう静かにラストチャンスが来ています。

あと約2時間。

「あとで」って思ってるうちに本気で終わってたりします。

ちなみに再々受付のご予定もございません！笑

ですので、実質これがラストのチャンスです。"
"再公開実行","6","254447","step-diff","0日","23:50","テキスト＋リンク","あり","ラスト10分です…！ 🔥

再受付は残り10分を切りました。

ロードマップ作成会では「自分に何が向いているか」を一緒に考えます。

正解を教えるのではなく、一緒に探す場所です。

こちらからご覧ください👇
https://utage-system.com/p/W8wW6ShW0iHd"
"再公開実行","7","254448","step-diff","1日","0:00","テキスト","なし","再受付、終了いたしました！ 😊 🌱

お付き合いいただきありがとうございました！！！！

ご縁を感じてロードマップ作成会にお申し込みいただけた方は、この後も引き続きよろしくお願いいたします。

またタイミングを見てご連絡いたします！"
